Field=#~Integer~#~50|Field=Comment~String~Comment~155|Field=Description~String~Description~161|Field=Designator~String~Designator~119|Field=Footprint~String~Footprint~106|Field=LibRef~String~LibRef~256|Field=Quantity~Integer~Quantity~36|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~AL1000.PrjPcb|ReportField=ProjectFullPath~M:\lyd\GL696\GIT\GLHW\AL1000\Ver1.00\AL1000.PrjPcb|ReportField=Title~Bill of Materials For Project [AL1000.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~500|ReportField=ReportTime~16:56:19|ReportField=ReportDate~2020-5-3|ReportField=ReportDateTime~2020-5-3 16:56:19|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2020-5-3|ReportField=CurrentTime~16:55:49|ReportField=Date~|ReportField=DocumentFullPathAndName~M:\lyd\GL696\GIT\GLHW\AL1000\Ver1.00\AL1000.SchDoc|ReportField=DocumentName~AL1000.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2020-4-20|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A1(594x841mm):PaperIndex=135|ReportField=ProjectName~AL1000.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~AL1000.PrjPcb|ReportField=DataSourceFullPath~M:\lyd\GL696\GIT\GLHW\AL1000\Ver1.00\AL1000.PrjPcb
45|330|Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, 贴片电阻, 贴片电阻, 贴片电阻, Resistor, Resistor, Resistor|R33_1, R33_2, R33_3, R34_1, R34_2, R34_3, R39_1, R39_2, R39_3, R44_1, R44_2, R44_3, R67_1, R67_2, R67_3|0805_R|Res2, Res2, Res2, Res2, Res2, Res2, Res2, Res2, Res2, 0805 100Ω (1000) 1%, 0805 100Ω (1000) 1%, 0805 100Ω (1000) 1%, Res2, Res2, Res2|15
46|200K|Resistor|R36_1, R36_2, R36_3, R41_1, R41_2, R41_3|0805_R|Res2|6
47|100|Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, 贴片电阻, 贴片电阻, 贴片电阻, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor|R37_1, R37_2, R37_3, R42_1, R42_2, R42_3, R49_1, R49_2, R49_3, R88, R89, R91, R94, R95, R99, R100|0805_R|Res2, Res2, Res2, Res2, Res2, Res2, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, Res1, Res1, Res1, Res1, Res1, Res1, Res1|16
48|5.1KΩ|贴片电阻|R48_1, R48_2, R48_3, R59_1, R59_2, R59_3|0805_R|0805 5.1KΩ (5101) 1%|6
49|22K|贴片电阻|R51_1, R51_2, R51_3|R0805|RMK2012KBxxx（10～1M）F|3
50|10KΩ|贴片电阻|R53_1, R53_2, R53_3, R60_1, R60_2, R60_3|0805_R|0805 10KΩ (1002) 1%|6
51|33R|Resistor|R62_1, R62_2, R62_3|R2512|Res2|3
52|0.33|Resistor|R63_1, R63_2, R63_3|R2512|Res2|3
53|22K|贴片电阻|R66_1, R66_2, R66_3|0805_R|RMK2012KBxxx（10～1M）F|3
54|510|Resistor|R68, R69|0805_R|Res1|2
55|0.2|Resistor|R82, R83, R116, R117|R1210|Res1|4
56|20K|Resistor|R104, R108|0805_R|Res1|2
57|120|Resistor|R106|0805_R|Res1|1
58|RPot|Potentiometer|R118, R119|RES-ADJ-TH_3362P|RPot|2
59|1M|Resistor|R120, R121|0805_R|Res1|2
60|0R|Resistor|R122, R123|0805_R|Res1|2
61|ACM7060-701-2PL-TL01||T1|FILTER-SMD_4P-L7.0-W6.0-BL|ACM7060-701-2PL-TL01|1
62|DP83848CVVX|接口芯片|U1|LQFP-48_7x7x05P|DP83848CVVX_[C16688]|1
63|VRB2405YMD-6WR3||U2|DC/DC-1X1|48S5|1
64|LD1117AG-33|3-Terminal Adjustable Positive Voltage Regulator|U3|SOT-223|LM1117|1
65|HT7550-1|低压差线性稳压(LDO)|U4|SOT-89(SOT-89-3)|SOT-89 HT7550-1|1
66|LM4040AIM3-2.5|Precision Micropower Shunt Voltage Reference, 3-pin SOT-23|U5|MF03A_N|LM4040AIM3-2.5|1
67|FM25W256||U6|SO8|SPI_FLASH|1
68|SG-310SCF 25MHZ 3.3V||U7|SMD-3225_4P|SM7745HEV-50.0M|1
